iter	Passed	Remaining
0	4	2371
1	9	2404
2	13	2318
3	18	2333
4	23	2349
5	28	2337
6	33	2376
7	38	2395
8	43	2372
9	48	2360
10	53	2366
11	57	2347
12	62	2337
13	66	2315
14	71	2309
15	76	2299
16	80	2285
17	85	2296
18	90	2284
19	94	2269
20	98	2254
21	103	2245
22	107	2232
23	112	2230
24	116	2222
25	121	2210
26	125	2199
27	129	2187
28	134	2179
29	138	2167
30	142	2163
31	147	2157
32	152	2151
33	156	2143
34	160	2135
35	165	2128
36	169	2120
37	173	2111
38	177	2101
39	182	2094
40	186	2089
41	190	2081
42	195	2072
43	199	2065
44	203	2060
45	208	2055
46	212	2046
47	216	2037
48	220	2028
49	224	2020
50	228	2012
51	232	2004
52	236	1996
53	240	1988
54	244	1980
55	248	1972
56	253	1966
57	257	1960
58	261	1952
59	265	1946
60	269	1939
61	273	1931
62	277	1926
63	281	1919
64	285	1912
65	289	1905
66	293	1899
67	297	1893
68	301	1886
69	306	1880
70	310	1874
71	314	1868
72	318	1863
73	322	1856
74	326	1849
75	330	1842
76	334	1836
77	338	1829
78	342	1823
79	346	1818
80	350	1813
81	354	1807
82	358	1801
83	362	1796
84	366	1791
85	370	1785
86	374	1779
87	379	1777
88	383	1773
89	388	1767
90	392	1764
91	397	1761
92	401	1757
93	406	1754
94	410	1751
95	415	1746
96	419	1742
97	423	1737
98	427	1732
99	431	1726
100	435	1720
101	439	1715
102	443	1709
103	447	1704
104	451	1699
105	455	1694
106	459	1688
107	463	1683
108	467	1678
109	472	1673
110	476	1668
111	480	1663
112	484	1658
113	488	1653
114	492	1648
115	496	1642
116	500	1637
117	504	1632
118	508	1627
119	512	1623
120	517	1621
121	521	1616
122	525	1611
123	530	1607
124	534	1603
125	538	1597
126	542	1592
127	546	1587
128	550	1582
129	554	1577
130	558	1572
131	562	1568
132	566	1563
133	570	1558
134	574	1553
135	578	1549
136	582	1544
137	586	1539
138	590	1534
139	594	1529
140	598	1524
141	602	1519
142	606	1515
143	610	1510
144	614	1505
145	618	1500
146	622	1495
147	627	1491
148	631	1488
149	636	1484
150	640	1480
151	644	1476
152	649	1472
153	653	1468
154	657	1464
155	662	1459
156	666	1456
157	670	1452
158	675	1447
159	679	1443
160	683	1439
161	687	1434
162	692	1430
163	696	1426
164	700	1421
165	704	1416
166	708	1413
167	712	1408
168	717	1404
169	721	1400
170	725	1396
171	729	1391
172	733	1387
173	738	1383
174	742	1379
175	747	1375
176	751	1371
177	755	1367
178	760	1363
179	764	1358
180	769	1356
181	773	1351
182	777	1347
183	782	1343
184	786	1339
185	791	1335
186	795	1332
187	800	1327
188	804	1323
189	808	1319
190	812	1315
191	816	1310
192	821	1306
193	825	1301
194	829	1296
195	833	1292
196	837	1288
197	841	1283
198	845	1278
199	849	1274
200	853	1270
201	858	1266
202	862	1262
203	868	1260
204	873	1256
205	877	1251
206	881	1247
207	885	1243
208	889	1239
209	893	1234
210	898	1230
211	902	1226
212	906	1221
213	911	1218
214	916	1214
215	920	1209
216	924	1205
217	928	1201
218	933	1197
219	937	1193
220	941	1188
221	945	1184
222	950	1180
223	954	1175
224	958	1171
225	965	1170
226	970	1166
227	974	1163
228	979	1158
229	983	1154
230	987	1149
231	991	1145
232	996	1141
233	1000	1137
234	1004	1132
235	1009	1128
236	1013	1124
237	1017	1120
238	1021	1115
239	1026	1111
240	1030	1107
241	1034	1103
242	1039	1099
243	1043	1095
244	1048	1090
245	1051	1086
246	1056	1081
247	1060	1077
248	1065	1073
249	1069	1069
250	1073	1065
251	1077	1060
252	1082	1056
253	1086	1052
254	1091	1048
255	1095	1044
256	1099	1039
257	1103	1035
258	1108	1031
259	1112	1026
260	1116	1022
261	1122	1019
262	1126	1014
263	1130	1010
264	1135	1006
265	1139	1002
266	1144	998
267	1148	994
268	1152	989
269	1157	985
270	1161	981
271	1167	978
272	1172	974
273	1177	970
274	1181	966
275	1185	962
276	1190	958
277	1194	953
278	1198	949
279	1202	945
280	1206	940
281	1211	936
282	1215	931
283	1219	927
284	1223	922
285	1227	918
286	1231	914
287	1236	909
288	1240	905
289	1244	901
290	1248	896
291	1252	892
292	1256	887
293	1261	883
294	1265	879
295	1269	874
296	1273	870
297	1277	865
298	1281	861
299	1286	857
300	1290	852
301	1294	848
302	1298	844
303	1302	840
304	1307	835
305	1311	831
306	1316	827
307	1320	823
308	1324	818
309	1328	814
310	1332	810
311	1336	805
312	1340	801
313	1345	796
314	1349	792
315	1353	788
316	1358	784
317	1363	780
318	1367	776
319	1371	771
320	1376	767
321	1380	763
322	1384	758
323	1388	754
324	1393	750
325	1397	745
326	1401	741
327	1405	736
328	1409	732
329	1413	728
330	1417	723
331	1421	719
332	1425	715
333	1429	710
334	1433	706
335	1437	701
336	1442	697
337	1446	693
338	1450	688
339	1454	684
340	1458	680
341	1462	675
342	1466	671
343	1470	666
344	1474	662
345	1478	658
346	1482	653
347	1487	649
348	1491	645
349	1495	640
350	1499	636
351	1503	632
352	1507	627
353	1511	623
354	1515	618
355	1519	614
356	1523	610
357	1527	606
358	1531	601
359	1536	597
360	1540	593
361	1544	588
362	1548	584
363	1552	580
364	1556	575
365	1561	571
366	1565	567
367	1570	563
368	1574	558
369	1578	554
370	1583	550
371	1587	546
372	1591	541
373	1595	537
374	1600	533
375	1604	529
376	1608	524
377	1612	520
378	1616	516
379	1620	511
380	1624	507
381	1628	503
382	1633	498
383	1637	494
384	1641	490
385	1645	486
386	1650	481
387	1653	477
388	1657	473
389	1662	468
390	1666	464
391	1670	460
392	1674	455
393	1678	451
394	1682	447
395	1686	442
396	1690	438
397	1694	434
398	1699	430
399	1703	425
400	1707	421
401	1711	417
402	1716	413
403	1720	408
404	1724	404
405	1728	400
406	1732	395
407	1736	391
408	1740	387
409	1745	383
410	1749	378
411	1753	374
412	1758	370
413	1763	366
414	1767	362
415	1771	357
416	1775	353
417	1779	349
418	1783	344
419	1787	340
420	1791	336
421	1795	331
422	1799	327
423	1803	323
424	1808	319
425	1812	314
426	1816	310
427	1820	306
428	1825	302
429	1829	297
430	1833	293
431	1837	289
432	1841	284
433	1845	280
434	1849	276
435	1854	272
436	1858	267
437	1862	263
438	1867	259
439	1871	255
440	1875	250
441	1879	246
442	1883	242
443	1887	238
444	1892	233
445	1895	229
446	1899	225
447	1904	221
448	1908	216
449	1912	212
450	1916	208
451	1920	203
452	1924	199
453	1928	195
454	1932	191
455	1937	186
456	1941	182
457	1945	178
458	1949	174
459	1954	169
460	1958	165
461	1962	161
462	1966	157
463	1972	153
464	1977	148
465	1982	144
466	1986	140
467	1990	136
468	1995	131
469	2000	127
470	2004	123
471	2009	119
472	2013	114
473	2018	110
474	2022	106
475	2027	102
476	2031	97
477	2036	93
478	2040	89
479	2044	85
480	2048	80
481	2052	76
482	2056	72
483	2060	68
484	2064	63
485	2068	59
486	2073	55
487	2077	51
488	2081	46
489	2085	42
490	2089	38
491	2093	34
492	2097	29
493	2101	25
494	2105	21
495	2109	17
496	2113	12
497	2117	8
498	2122	4
499	2126	0
